,Timestamp,Open,High,Low,Close,Volume,SAR_2,SAR_POS_2,DMI+,DMI-,ADX,CS,CS_POS,STX,ST,ATR,RSI,Lowest_Low,Highest_High,%K,%D,Stochastic,ATR_buffer
0,2024-01-01 09:15:00+05:30,48203.45,48282.35,48135.9,48152.95,0,,nan,,,,,nan,nan,0.0,,,,,,,,
1,2024-01-01 09:20:00+05:30,48157.45,48192.4,48141.7,48185.8,0,48135.9,UP,,,,,nan,nan,0.0,,,,,,,,
2,2024-01-01 09:25:00+05:30,48185.7,48200.6,48176.8,48184.25,0,48138.725,UP,,,,,nan,nan,0.0,,,,,,,,
3,2024-01-01 09:30:00+05:30,48183.45,48230.8,48166.8,48226.2,0,48141.7,UP,,,,,nan,nan,0.0,,,,,,,,
4,2024-01-01 09:35:00+05:30,48227.45,48262.9,48204.85,48204.85,0,48146.155,UP,,,,,nan,nan,0.0,,,48135.9,48282.35,,,,
5,2024-01-01 09:40:00+05:30,48201.9,48224.55,48189.2,48207.55,0,48151.992249999996,UP,,,,,nan,DOWN,48253.255000000005,,,48141.7,48262.9,,,,
6,2024-01-01 09:45:00+05:30,48208.6,48234.05,48184.85,48229.4,0,48157.5376375,UP,18.711261840719935,3.660390597591178,,,nan,DOWN,48253.255000000005,,,48166.8,48262.9,55.51769227480758,,55.51769227480758,
7,2024-01-01 09:50:00+05:30,48227.55,48299.25,48221.3,48294.45,0,48162.805755625,UP,40.440050132291596,4.358724411642114,,,nan,UP,48203.365,,,48166.8,48299.25,71.94938425878279,,71.94938425878279,
8,2024-01-01 09:55:00+05:30,48296.25,48315.0,48262.4,48292.25,0,48169.62796784375,UP,44.59066352680293,4.335780579027917,,,nan,UP,48234.06999999999,,,48184.85,48315.0,81.34554621458562,69.60420758272534,81.34554621458562,
9,2024-01-01 10:00:00+05:30,48293.35,48309.2,48273.95,48276.9,0,48176.896569451565,UP,41.01772287862418,4.20247046186925,,,nan,UP,48241.505,,,48184.85,48315.0,83.20741508730431,78.83411518689091,83.20741508730431,
10,2024-01-01 10:05:00+05:30,48280.75,48291.35,48235.55,48268.2,0,48183.80174097899,UP,33.64909390444651,14.840746842392912,,,nan,UP,48241.505,,,48184.85,48315.0,72.42924830323979,78.99406986837658,72.42924830323979,
11,2024-01-01 10:10:00+05:30,48268.65,48272.2,48243.35,48250.5,0,48190.36165393004,UP,26.99999999999913,16.134328358207654,,,nan,UP,48241.505,,,48221.3,48315.0,55.310287653478376,70.3156503480075,55.310287653478376,
