,Timestamp,Open,High,Low,Close,Volume,CS_sl,CS_POS_sl,DMI+,DMI-,ADX,SAR_sl,SAR_POS_sl,STX_sl,ST_sl,RSI_sl,ATR,Lowest_Low,Highest_High,%K,%D,Stochastic,momentum_1,momentum_3,momentum_5,ATR_14,vol_std_10,OBV,vwap_dev
0,2024-01-01 09:15:00+05:30,48203.45,48282.35,48152.3,48160.65,0,,nan,,,,,nan,nan,0.0,,,,,,,,,,,,,0.0,
1,2024-01-01 09:16:00+05:30,48165.1,48180.05,48135.9,48135.9,0,,nan,,,,48282.35,DOWN,nan,0.0,,,,,,,,-0.0005139050241223903,,,,,0.0,
2,2024-01-01 09:17:00+05:30,48146.6,48185.25,48143.55,48179.9,0,,nan,,,,48277.9565,DOWN,nan,0.0,,,,,,,,0.000914078681399953,,,,,0.0,
3,2024-01-01 09:18:00+05:30,48179.85,48191.6,48156.45,48162.35,0,,nan,,,,48273.694805,DOWN,DOWN,48225.48499999999,,,,,,,,-0.00036425978468205433,3.529852690935628e-05,,,,0.0,
4,2024-01-01 09:19:00+05:30,48172.35,48184.5,48145.7,48152.95,0,,nan,,,,48269.56096085,DOWN,DOWN,48214.42,,,48135.9,48282.35,,,,-0.00019517320064327127,0.0003542054890423911,,,,0.0,
5,2024-01-01 09:20:00+05:30,48157.45,48175.3,48144.75,48155.3,0,,nan,,,,48265.5511320245,DOWN,DOWN,48201.825000000004,,39.60000000000146,48135.9,48191.6,,,,4.880282516451891e-05,-0.000510586364853363,-0.00011108654056784003,,,0.0,
6,2024-01-01 09:21:00+05:30,48157.2,48169.35,48141.7,48167.1,0,,nan,3.2471183581657277,8.757379814450681,,48261.661598063765,DOWN,DOWN,48194.325,,37.21000000000146,48141.7,48191.6,32.45781525229471,,32.45781525229471,0.0002450405251342144,9.862475564419095e-05,0.0006481648831744517,,,0.0,
7,2024-01-01 09:22:00+05:30,48167.3,48180.35,48158.25,48158.75,0,,nan,9.10191725529565,12.573158425832712,,48257.888750121856,DOWN,DOWN,48194.325,,34.188000000000876,48141.7,48191.6,39.96652790920317,,39.96652790920317,-0.00017335484179032047,0.00012044952593772367,-0.000438979740514228,,,0.0,
8,2024-01-01 09:23:00+05:30,48160.3,48177.05,48155.3,48161.85,0,,nan,10.006656312400732,7.854448635454463,,48254.2290876182,DOWN,DOWN,48194.325,,31.700400000000702,48141.7,48184.5,44.049859844301345,38.824734335266406,44.049859844301345,6.437044150852223e-05,0.00013601825759564646,-1.0381553225704311e-05,,,0.0,
9,2024-01-01 09:24:00+05:30,48169.2,48192.4,48166.05,48185.8,0,,nan,15.831517792299918,8.56935366739105,,48250.67921498966,DOWN,DOWN,48194.325,,31.47032000000114,48141.7,48192.4,56.07667481546741,46.69768752299064,56.07667481546741,0.0004972815620663319,0.00038823180137488795,0.0006822011943194721,,,0.0,
10,2024-01-01 09:25:00+05:30,48185.7,48198.1,48178.25,48193.3,0,,nan,16.7581699346376,9.25490196078244,,48247.23583853997,DOWN,DOWN,48194.325,,29.14625600000062,48141.7,48198.1,75.18368315839545,58.43673927272141,75.18368315839545,0.00015564751441295982,0.000717418952942153,0.0007891135555172535,,0.00042057050691688276,0.0,
